person,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,54,55,56,57,58,59,60,position
-135.2569,-289.60965,-322.75702,-238.05045,-199.11044,-145.68234,-65.94598,1.4190569,23.806572,94.53539,123.33403,120.370705,175.10306,153.84778,108.516685,19.675335,-0.07215309,-20.051685,-43.447517,-60.33951,-78.26702,-145.02391,-96.76764,-70.68003,-10.094786,-39.11317,-0.3686571,18.065258,-44.2332,-24.32959,76.62839,59.52666,24.11159,5.4768195,90.97755,45.498775,115.91741,128.68234,122.188736,72.56149,90.591774,90.72413,27.839188,-30.263563,-40.51165,-84.07192,-153.28279,-156.55035,-168.19954,-215.43823,-178.04977,-202.14682,261.61197,126.359146,0
-139.25366,-146.6582,-146.72708,-124.953224,-142.69324,-89.246056,-77.96378,-35.738808,-38.64352,-26.46905,-2.8134937,-24.181198,-34.901295,-23.303452,-4.4119196,16.95851,14.113605,27.172539,46.860424,29.813637,15.923945,2.9943523,30.489426,12.498217,15.299695,4.9134007,11.130061,-25.530134,-25.313946,-51.00485,5.387988,-10.44968,-24.656107,-20.094921,-32.943546,-16.527256,3.0172634,7.5795755,25.984467,33.797073,37.07521,48.370464,34.118313,25.97409,32.135277,6.3028812,-21.816778,-39.388058,-31.602364,-56.64747,-44.411858,-75.05043,207.65633,49.29735,1
-104.28071,-106.21012,-90.43148,-47.785225,-11.8111,-19.468481,-59.832657,-52.769955,-57.12596,-90.57085,-82.90991,-51.86058,-63.156364,-84.133224,-74.02373,-62.148857,-37.986053,2.6757135,24.684069,73.99565,103.80757,144.49991,119.48053,61.59765,99.74708,85.986725,-5.1382904,-6.1520405,-6.6768303,-67.851616,-119.13695,-100.226974,-109.22194,-67.250084,-61.539536,-47.4712,-33.08349,6.636959,16.06694,33.375175,38.302593,55.235317,74.81722,89.10767,35.42051,69.5828,-7.267603,-60.440857,-85.752235,-85.84703,-178.954,-220.52153,104.7453,1.3663025,2
-42.169228,-65.49698,-81.00591,-51.205967,-44.9058,-17.508461,7.5280924,37.239597,16.703707,21.509293,17.30233,0.40747452,-28.723726,-31.145405,-8.875229,1.578655,-6.0581903,-2.0475836,-20.890156,-11.574896,-11.153606,-21.127851,-17.996315,-3.3273392,-5.74049,4.8842664,-0.36311227,11.719488,-7.9711256,21.68608,34.504173,10.342838,17.270035,-7.3484073,7.3561745,-9.737894,13.364826,25.6668,32.381443,17.968588,15.999222,24.362,29.224188,39.686657,4.823689,-7.3168454,-24.14281,-46.010063,-66.50381,-69.98095,-77.097664,-98.9988,77.60832,66.62654,3
-170.35173,-118.483955,-129.45988,-78.61566,-34.535164,-1.8539164,-3.7050343,27.820135,32.88419,52.750977,37.867214,88.36351,85.87748,60.210106,24.069963,-9.341863,-45.54852,-39.91027,15.942976,3.5102458,-4.4530816,-63.872166,-31.38481,-101.05253,-78.072296,-99.82524,-2.2679555,-32.450943,-92.14792,-102.19055,-39.297997,-35.79429,-53.30509,-20.567953,42.928303,55.10541,49.169323,103.52135,97.27002,78.360756,182.1939,201.72722,159.57913,100.882744,101.22496,26.176315,-68.10162,-89.52114,-81.755615,-164.9718,-177.0683,-275.8223,193.06766,17.15543,4
-139.57103,-223.62425,-218.21475,-150.86147,-119.197845,-91.07788,-96.71601,-85.30715,-73.02888,-51.052048,-34.282543,29.827744,42.832016,17.438194,28.667408,5.256377,22.47037,46.701202,47.68915,58.022366,41.581802,56.923187,30.279247,-15.378302,23.691923,17.01709,8.238821,36.82867,-1.125103,-58.542515,-76.627106,-79.325905,-86.69558,-33.75092,-14.022949,-26.872393,-20.342733,5.2031727,13.764045,69.5665,73.69316,118.638565,158.43208,161.63702,115.19317,109.62039,18.676434,-43.699886,-104.69266,-152.99242,-254.33163,-321.62808,70.93552,12.076754,5
30.099913,-142.25694,-70.23118,-28.172485,32.9264,66.80752,12.747114,61.72924,40.78962,-22.059347,-67.09287,-32.11914,-93.99881,-108.34833,-123.53052,-94.44442,-114.843544,-60.675457,39.440605,80.8508,149.79135,155.55316,154.12186,45.824352,33.776688,29.17199,-1.4045978,-5.6585765,-43.828995,-102.092316,-115.755424,-86.29402,-114.00307,-45.78037,-68.64208,-25.637566,-31.506264,6.313722,64.05764,43.88195,138.84119,152.11086,129.14883,109.91017,89.8945,45.198624,-15.081792,-93.33078,-44.073082,-70.05095,-96.40285,-190.71106,215.03041,35.45314,6
4.085375,-132.70363,-152.2165,-141.76453,-162.68665,-162.852,-93.31408,-125.71482,-128.71317,-87.49774,-47.877945,1.1256638,61.838367,73.132996,69.15909,85.25793,92.4574,85.01398,111.01453,92.61875,65.718544,25.8474,38.080223,10.235455,-14.290688,-43.84964,5.6272135,-54.826782,-93.10397,-93.50744,-56.62194,-54.68416,-54.411747,-25.965937,-1.5304451,5.4703064,22.970001,51.307228,63.518974,58.17058,93.664825,109.34858,106.52194,89.02377,80.20512,77.53461,18.604815,0.5092888,-72.355896,-135.39265,-208.1096,-275.43906,58.024456,11.725621,7
-54.19644,-179.05704,-137.25949,-100.56921,-36.32538,-6.6740866,-24.306488,-13.102076,-2.915328,-18.001896,-40.838234,-16.564901,-35.939495,-76.87593,-83.188705,-79.340515,-92.260895,-20.631744,34.918495,62.331467,114.54364,142.5224,137.3926,54.052765,88.140236,82.10206,1.4121276,21.84211,5.3012953,-49.915524,-84.44211,-28.764645,-81.28471,-51.54065,-14.362831,-30.741308,-23.695557,-9.351267,25.260893,50.511326,52.841476,38.757782,47.785736,46.617405,24.78106,13.405042,-7.830675,-88.34689,-82.02528,-89.46438,-118.2338,-163.06079,69.75789,-35.383575,8
